Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.78451246,0,0.663136482,30.36099351,2795,0.005383614,2000,0
1,0.779389203,0,0.669859529,32.1262183,2704,0.005208333,2000,0
2,0.761467397,0,0.590831578,31.74948534,2628,0.005061945,2000,0
3,0.778263032,0,0.615609348,31.86706553,2599,0.005006087,2000,0
4,0.800543904,0,0.661674321,32.49142791,2698,0.005196776,2000,0
5,0.801820219,0,0.689014316,33.4639517,2818,0.005427915,2000,0
6,0.775791466,0,0.711992502,31.71968051,2682,0.005165958,2000,0
7,0.772572935,0,0.697231114,31.13010142,2756,0.005308494,2000,0
8,0.784453332,0,0.632044852,33.44077632,2871,0.005530002,2000,0
9,0.781864762,0,0.724115074,34.16568243,2920,0.005624384,2000,0
10,0.796184361,0,0.557976305,33.85900544,3071,0.005915234,2000,0
11,0.813863695,0,0.481297761,34.21581302,3140,0.006048139,2000,1
12,0.815091252,0,0.163224369,34.24716188,3209,0.006181044,2000,1
13,0.800322831,0,0.198554799,34.43414299,3280,0.006317801,2000,1
14,0.796509564,0,0.17748934,34.040911,3192,0.006148299,2000,1
15,0.788118303,0,0.624207675,33.41892011,3018,0.005813147,2000,0
16,0.786151588,0,0.238859013,33.15463403,2915,0.005614753,2000,1
17,0.72008723,0,0.211924016,32.85263006,2521,0.004855846,2000,1
18,0.706149459,0,0.637467206,30.34115214,2533,0.00487896,2000,0
19,0.743837237,0,0.16499196,33.14857122,3035,0.005845892,2000,1
20,0.738972962,0,0.738858759,34.19144531,3133,0.006034655,2000,0
21,0.780800402,0,0.663976848,33.60725947,3166,0.006098219,2000,0
22,0.77810812,0,0.691188633,34.41383849,3234,0.006229197,2000,0
23,0.795828283,0,0.708981335,33.34285631,3259,0.006277351,2000,0
24,0.761657119,0,0.727208078,32.21638752,3145,0.006057769,2000,0
25,0.780529261,0,0.626265943,33.81747488,3213,0.006188748,2000,0
26,0.812388301,0,0.595172107,33.1082177,3256,0.006271573,2000,0
27,0.805726826,0,0.328041911,33.40188292,3186,0.006136742,2000,1
28,0.770443857,0,0.211480007,32.39562579,2804,0.005400949,2000,1
29,0.764687538,0,0.293689549,33.48611239,3218,0.006198379,2000,1
30,0.786242485,0,0.316636324,33.76373823,3230,0.006221493,2000,1
31,0.81074506,0,0.259677619,35.61592441,3211,0.006184896,2000,1
32,0.798736572,0,0.324967861,34.99733741,3144,0.006055843,2000,1
33,0.757111132,0,0.691231668,34.01198717,3076,0.005924864,2000,0
34,0.778104722,0,0.745799243,32.90341533,3013,0.005803516,2000,0
35,0.757403433,0,0.747091472,33.52469454,3101,0.005973018,2000,0
36,0.792609572,0,0.778413355,32.05314119,3049,0.005872858,2000,0
37,0.774569392,0,0.622866809,34.29255212,3168,0.006102071,2000,0
38,0.811030507,0,0.566226184,35.09546315,3174,0.006113628,2000,0
39,0.780317545,0,0.630939126,33.18624132,3267,0.006292761,2000,0
40,0.812047005,0,0.430715591,33.85832186,3265,0.006288908,2000,1
41,0.824427783,0,0.316359401,33.9595965,3170,0.006105923,2000,1
42,0.837309599,0,0.533909917,34.83433457,3257,0.006273499,2000,0
43,0.833765507,0,0.366657138,33.99064914,3137,0.00604236,2000,1
44,0.826625645,0,0.27153039,33.44942161,3067,0.005907529,2000,1
45,0.819104075,0,0.292966664,32.37873553,3048,0.005870932,2000,1
46,0.812567174,0,0.26588577,34.29968385,3110,0.005990354,2000,1
47,0.814786255,0,0.204996914,35.60697028,3197,0.00615793,2000,1
48,0.805148304,0,0.132662922,35.22837515,3132,0.006032729,2000,1
49,0.796475708,0,0.193497062,34.07112514,3115,0.005999985,2000,1
50,0.827922761,0,0.190867081,33.57652578,3090,0.005951831,2000,1
51,0.839024603,0,0.701777875,33.34051849,3170,0.006105923,2000,0
52,0.845649421,0,0.737652063,34.05357405,3119,0.006007689,2000,0
53,0.873149395,0,0.734853685,34.18971721,3170,0.006105923,2000,0
54,0.87434715,0,0.637579799,31.99320357,3071,0.005915234,2000,0
