Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.7820725440979,0,0.471737921237946,15.3504392822867,701,0.001350237302761,2000,1
1,0.80148983001709,0,0.504588007926941,15.3482175389344,691,0.00133097571499,2000,0
2,0.805634915828705,0,0.507107198238373,15.7287376237153,727,0.001400317430966,2000,0
3,0.803631365299225,0,0.519243240356445,16.5787151098735,728,0.001402243589744,2000,0
4,0.800404846668243,0,0.507206618785858,17.586433116405,791,0.001523591592702,2000,0
5,0.795606374740601,0,0.511497139930725,15.8485818639167,738,0.001421505177515,2000,0
6,0.777914702892303,0,0.513158917427063,16.8461130928183,751,0.001446545241617,2000,0
7,0.774633526802063,0,0.52009642124176,15.6501741456176,740,0.001425357495069,2000,0
8,0.798794448375702,0,0.545109033584595,17.1429662488976,769,0.001481216099606,2000,0
9,0.813809633255005,0,0.562545835971832,16.5447610913363,755,0.001454249876726,2000,0
10,0.821957588195801,0,0.535008430480957,17.2025784214019,760,0.001463880670611,2000,0
11,0.824811160564423,0,0.540553450584412,17.2162293897983,800,0.001540927021696,2000,0
12,0.829532444477081,0,0.517883777618408,17.5521421255334,830,0.00159871178501,2000,0
13,0.815117478370667,0,0.531725108623505,17.4908146377914,812,0.001564040927022,2000,0
14,0.807817041873932,0,0.518868446350098,16.567430517156,819,0.001577524038462,2000,0
15,0.819078028202057,0,0.497669875621796,17.0539582875008,863,0.001662275024655,2000,1
16,0.832602620124817,0,0.472888290882111,18.5029062422075,911,0.001754730645957,2000,1
17,0.828778326511383,0,0.534714818000793,18.0970313912236,907,0.001747026010848,2000,0
18,0.8302121758461,0,0.550380110740662,17.2504923064107,871,0.001677684294872,2000,0
19,0.830704391002655,0,0.543366074562073,18.1270669849784,885,0.001704650517751,2000,0
20,0.831863522529602,0,0.537061095237732,17.7686391351912,893,0.001720059787968,2000,0
21,0.822330176830292,0,0.498582243919373,18.408814731621,918,0.001768213757396,2000,1
22,0.815111935138702,0,0.52483206987381,19.1801676535624,953,0.001835629314596,2000,0
23,0.829661846160889,0,0.514075756072998,18.6549802765795,1003,0.001931937253452,2000,0
24,0.827224552631378,0,0.496712982654572,19.6066266289294,1081,0.002082177638067,2000,1
25,0.840687096118927,0,0.500327527523041,18.7722495951741,1017,0.001958903476331,2000,0
26,0.837757527828217,0,0.445632576942444,18.8046510725614,1002,0.001930011094675,2000,1
27,0.844769716262817,0,0.416015863418579,19.9594787507859,1083,0.002086029955621,2000,1
28,0.83918958902359,0,0.466744840145111,20.2560442325442,1049,0.002020540557199,2000,1
29,0.829133272171021,0,0.39566695690155,20.8689401829576,1112,0.002141888560158,2000,1
30,0.826218187808991,0,0.419949173927307,19.5629073332541,1146,0.00220737795858,2000,1
31,0.830125212669373,0,0.470428287982941,19.6318155418358,1034,0.001991648175542,2000,1
32,0.827923595905304,0,0.433645129203796,20.4268562243321,1042,0.002007057445759,2000,1
33,0.823988616466522,0,0.429300010204315,18.6677899645541,1022,0.001968534270217,2000,1
34,0.821873247623444,0,0.47419810295105,19.8035919211547,1069,0.002059063732742,2000,1
35,0.825930774211883,0,0.303525805473328,20.1010622308029,1134,0.002184264053254,2000,1
36,0.809560358524323,0,0.330911576747894,19.9507925992029,1191,0.00229405510355,2000,1
37,0.802504003047943,0,0.361429810523987,20.692711571653,1228,0.002365322978304,2000,1
38,0.792544186115265,0,0.410669803619385,20.4858436131605,1179,0.002270941198225,2000,1
39,0.809630334377289,0,0.436581671237946,20.1907375386077,1181,0.002274793515779,2000,1
40,0.815730094909668,0,0.441982209682465,20.2058103337092,1237,0.002382658407298,2000,1
41,0.830684542655945,0,0.348735988140106,21.5261238962372,1301,0.002505932569034,2000,1
42,0.839792370796204,0,0.363659977912903,21.1095904670977,1274,0.002453926282051,2000,1
43,0.848556756973267,0,0.381631791591644,20.5867921062807,1210,0.002330652120316,2000,1
44,0.841700792312622,0,0.39722490310669,21.1977358732361,1224,0.002357618343195,2000,1
45,0.832891881465912,0,0.371305465698242,20.7226399064044,1218,0.002346061390533,2000,1
46,0.838312566280365,0,0.261699140071869,20.2524721887918,1223,0.002355692184418,2000,1
47,0.82904177904129,0,0.267378270626068,21.6417434508513,1235,0.002378806089744,2000,1
48,0.822129964828491,0,0.128890350461006,21.3346424050493,1324,0.002550234220907,2000,1
49,0.804198384284973,0,0.182358637452126,20.8048588800326,1299,0.002502080251479,2000,1
50,0.805743634700775,0,0.182771995663643,20.5115340626682,1244,0.002396141518738,2000,1
51,0.813571274280548,0,0.283381760120392,21.063405132017,1290,0.002484744822485,2000,1
52,0.812081217765808,0,0.448032200336456,21.5253262311617,1339,0.002579126602564,2000,1
53,0.825362980365753,0,0.178322404623032,22.4286752800378,1363,0.002625354413215,2000,1
54,0.830242693424225,0,0.300388872623444,21.6131013850442,1387,0.002671582223866,2000,1
55,0.838968515396118,0,0.231412172317505,22.1701469807318,1410,0.00271588387574,2000,1
56,0.84489631652832,0,0.206579744815826,27.2095619486589,2182,0.004202878451677,2000,1
57,0.845350205898285,0,0.194863557815552,23.2143345525932,1456,0.002804487179487,2000,1
58,0.840145826339722,0,0.1932033598423,21.6325384662115,1451,0.002794856385602,2000,1
59,0.835351049900055,0,0.177112132310867,21.7255592127452,1426,0.002746702416174,2000,1
60,0.831541240215302,0,0.17454144358635,21.4250443628842,1344,0.00258875739645,2000,1
61,0.814090311527252,0,0.199044421315193,22.4342840562153,1328,0.002557938856016,2000,1
62,0.804884374141693,0,0.230742275714874,27.2298827188011,1942,0.003740600345168,2000,1
63,0.787455558776856,0,0.217861250042915,27.4439497999621,1994,0.003840760601578,2000,1
64,0.793587446212769,0,0.133845120668411,22.0775766908719,1387,0.002671582223866,2000,1
65,0.782486975193024,0,0.1828773021698,22.6559351079815,1477,0.002844936513807,2000,1
66,0.792476952075958,0,0.264049232006073,22.7836508965043,1435,0.002764037845168,2000,1
67,0.789385735988617,0,0.285609722137451,22.4033669271653,1466,0.002823748767258,2000,1
