Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.864559525,0,0.629133233,30.61521033,2781,0.005356648,2000,0
1,0.852916133,0,0.68065851,32.07010463,2718,0.0052353,2000,0
2,0.835950971,0,0.702321339,30.78398651,2637,0.005079281,2000,0
3,0.813272548,0,0.723021169,30.57824774,2612,0.005031127,2000,0
4,0.856898058,0,0.666884437,30.86116995,2691,0.005183293,2000,0
5,0.863654786,0,0.783751429,32.36029958,2787,0.005368205,2000,0
6,0.861360632,0,0.701255012,31.6304218,2689,0.005179441,2000,0
7,0.824467762,0,0.545725051,32.21126675,2740,0.005277675,2000,0
8,0.842957941,0,0.741814726,33.44239482,2865,0.005518445,2000,0
9,0.852348727,0,0.715320337,31.83554894,2926,0.005635941,2000,0
10,0.845517988,0,0.704128221,34.36588999,3080,0.005932569,2000,0
11,0.837915657,0,0.586385199,33.47045499,3143,0.006053917,2000,0
12,0.841042964,0,0.219133508,34.0839597,3237,0.006234976,2000,1
13,0.838848901,0,0.275494796,34.58356489,3277,0.006312022,2000,1
14,0.85640012,0,0.677506506,34.06731198,3230,0.006221493,2000,0
15,0.870644127,0,0.286917948,33.18103107,3025,0.00582663,2000,1
16,0.839943739,0,0.269392502,32.13144404,2915,0.005614753,2000,1
17,0.733218247,0,0.676669651,29.94462581,2521,0.004855846,2000,0
18,0.729820094,0,0.332194384,31.9941695,2527,0.004867403,2000,1
19,0.756077846,0,0.08170218,32.87705875,3021,0.005818926,2000,1
20,0.777408124,0,0.724953984,34.02120401,3146,0.006059696,2000,0
21,0.862935624,0,0.754753785,33.65709412,3163,0.00609244,2000,0
22,0.825657623,0,0.725485182,33.88572264,3208,0.006179117,2000,0
23,0.807316547,0,0.6744675,34.39523473,3250,0.006260016,2000,0
24,0.784806912,0,0.726966867,33.48390054,3133,0.006034655,2000,0
25,0.791187264,0,0.646346487,33.51222378,3203,0.006169487,2000,0
26,0.833634339,0,0.582919139,34.87530796,3255,0.006269647,2000,0
27,0.8724885,0,0.29288467,33.18292131,3171,0.006107849,2000,1
28,0.829980422,0,0.070031946,31.4983368,2801,0.005395171,2000,1
29,0.852550885,0,0.612868162,33.75947239,3173,0.006111702,2000,0
30,0.818758162,0,0.267735533,34.13562204,3229,0.006219567,2000,1
31,0.843687458,0,0.465450699,33.39761921,3226,0.006213788,2000,1
32,0.871695244,0,0.627956468,34.93487961,3162,0.006090514,2000,0
33,0.843439238,0,0.241009417,34.06347491,3071,0.005915234,2000,1
34,0.793820037,0,0.773204073,33.51272925,3027,0.005830483,2000,0
35,0.825478278,0,0.788925121,32.37288417,3105,0.005980723,2000,0
36,0.865352302,0,0.766497857,34.30875325,3032,0.005840113,2000,0
37,0.821340863,0,0.725824496,33.92641244,3163,0.00609244,2000,0
38,0.838035698,0,0.683032841,33.88154456,3172,0.006109776,2000,0
39,0.807075912,0,0.589854452,34.80027907,3262,0.00628313,2000,0
40,0.870488573,0,0.608602649,34.36063908,3253,0.006265795,2000,0
41,0.869896346,0,0.293949901,35.3648633,3179,0.006123259,2000,1
42,0.93379697,0,0.23762971,35.05191207,3264,0.006286982,2000,1
43,0.866212294,0,0.550747728,34.02253612,3131,0.006030803,2000,0
44,0.897446048,0,0.372486276,33.06850834,3077,0.005926791,2000,1
45,0.824204351,0,0.254236843,33.01210571,3056,0.005886341,2000,1
46,0.845298878,0,0.151154763,34.81086724,3067,0.005907529,2000,1
47,0.879047695,0,0.345113308,32.9513159,3196,0.006156003,2000,1
48,0.822852374,0,0.256107323,33.12924001,3107,0.005984575,2000,1
49,0.849760004,0,0.338003774,32.25715804,3106,0.005982649,2000,1
50,0.862953979,0,0.266168799,32.58765791,3054,0.005882489,2000,1
