Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.911865118539006,0,0.640183218761573,15.1224488190661,626,0.001205775394477,4000,0
1,0.936203833964535,0,0.549344398510712,14.9232118855032,624,0.001201923076923,4000,0
2,0.853217181639827,0,0.566266601382458,14.9621200544713,634,0.001221184664694,4000,0
3,0.910738993172362,0,0.59189427801363,15.5218188013011,661,0.001273190951677,4000,0
4,0.847641788917663,0,0.567923755011201,16.0544119967,684,0.00131749260355,4000,0
5,0.852321902704262,0,0.51812331591272,16.2018937477998,753,0.001450397559172,4000,1
6,0.898499483404323,0,0.497991617797965,16.6348411250043,781,0.001504330004931,4000,1
7,0.895726130451208,0,0.523640833035259,17.8498948634413,805,0.001550557815582,4000,0
8,0.874924122873203,0,0.545064821906845,17.2794099568905,815,0.001569819403353,4000,0
9,0.833283026470721,0,0.545913777648567,17.6020663915736,821,0.001581376356016,4000,0
10,0.880113444050423,0,0.567567713034998,15.8058510961451,722,0.001390686637081,4000,0
11,0.839931339588925,0,0.551003676741122,16.222950692802,746,0.001436914447732,4000,0
12,0.888815186765372,0,0.602982579444992,16.4523077825741,747,0.001438840606509,4000,0
13,0.838989747269681,0,0.550000805570908,16.4371429803947,749,0.001442692924063,4000,0
14,0.898541691335366,0,0.584566484055167,16.7388696686923,772,0.001486994575937,4000,0
15,0.836800118711427,0,0.560316408299451,16.3011136204618,751,0.001446545241617,4000,0
16,0.934676974784352,0,0.590048210787888,16.2604659461957,743,0.0014311359714,4000,0
17,0.934783463262296,0,0.551515713919671,16.3122034546397,731,0.001408022066075,4000,0
18,0.849983587215738,0,0.612211427227274,16.1533600810159,753,0.001450397559172,4000,0
19,0.916008111054888,0,0.572237178602632,16.6788979340283,780,0.001502403846154,4000,0
20,0.895664126749895,0,0.608329799165596,17.8497884608442,769,0.001481216099606,4000,0
21,0.843946254013338,0,0.592201155883634,16.5456798971902,789,0.001519739275148,4000,0
22,0.802185884501586,0,0.51221508522103,16.6067082974544,784,0.001510108481262,4000,1
23,0.791434654937845,0,0.565998718265656,16.775182599588,810,0.001560188609467,4000,0
24,0.820526941972614,0,0.484557207195639,17.4839648620441,905,0.001743173693294,4000,1
25,0.832836461440957,0,0.479949154729139,18.6537263599703,940,0.001810589250493,4000,1
26,0.851885937075098,0,0.541969508968877,18.746697363884,906,0.001745099852071,4000,0
27,0.849801005720187,0,0.471629432338379,17.9485903464544,908,0.001748952169625,4000,1
28,0.819713897766701,0,0.515392908326876,18.128774275924,889,0.00171235515286,4000,1
29,0.81391690517466,0,0.480843438863486,17.547324707286,913,0.001758582963511,4000,1
30,0.851584683291435,0,0.506328038752937,18.2472564600785,905,0.001743173693294,4000,1
31,0.879917638241013,0,0.570805088912304,18.1492568662784,943,0.001816367726824,4000,0
32,0.858535688521729,0,0.522604146800824,17.6119926112017,954,0.001837555473373,4000,0
33,0.8799062659995,0,0.557771623641022,17.7371543264024,959,0.001847186267258,4000,0
34,0.842856442501748,0,0.49458601069643,18.7197137173863,957,0.001843333949704,4000,1
35,0.881924371097935,0,0.533191051621301,18.5152451291217,1008,0.001941568047337,4000,0
36,0.875844266917754,0,0.512223294501828,18.9722673422176,998,0.001922306459566,4000,1
37,0.865943420186002,0,0.511924672861624,19.6149834058048,1014,0.001953125,4000,1
38,0.85559381755287,0,0.5404511073442,18.6055586523039,997,0.001920380300789,4000,0
39,0.894379613260176,0,0.507081131537025,19.0180783698758,976,0.001879930966469,4000,1
40,0.842439765219659,0,0.571189603785393,19.2760687937925,1015,0.001955051158777,4000,0
41,0.825960964093436,0,0.529130378489639,19.0252924595617,977,0.001881857125247,4000,0
42,0.82898889420476,0,0.49046784504275,18.9346832535317,1024,0.001972386587771,4000,1
43,0.817417951673996,0,0.563041524393234,18.8061202174101,1052,0.002026319033531,4000,0
44,0.880591715407465,0,0.610026004630499,19.7637705972296,1010,0.001945420364892,4000,0
45,0.902703314669031,0,0.585755235487846,19.8727938501223,1036,0.001995500493097,4000,0
46,0.870077397172493,0,0.534066804781888,20.559337702903,1065,0.002051359097633,4000,0
47,0.832254341811127,0,0.603736385631353,19.4603985737441,1021,0.00196660811144,4000,0
48,0.832553452986051,0,0.58950873246019,19.5736619717279,1109,0.002136110083826,4000,0
49,0.872739462681924,0,0.595505942083625,22.5630541149856,1334,0.002569495808679,4000,0
50,0.861319246477197,0,0.524806435236251,20.7681898241909,1179,0.002270941198225,4000,0
51,0.879395881416617,0,0.539866628675427,19.9634960983939,1152,0.002218934911243,4000,0
52,0.816666487958586,0,0.522543826227797,21.1299867456012,1250,0.0024076984714,4000,0
53,0.846681846126344,0,0.490618544734506,22.2436882865456,1355,0.002609945142998,4000,1
54,0.840360935622812,0,0.44142559547075,21.9425729811931,1330,0.00256179117357,4000,1
55,0.819964719347151,0,0.499009360567904,22.3054155931419,1359,0.002617649778107,4000,1
56,0.817084147835758,0,0.494815600566711,23.0397159728745,1333,0.002567569649901,4000,1
57,0.89288821308854,0,0.526065966588586,21.5668234539687,1386,0.002669656065089,4000,0
58,0.892648428098494,0,0.587895834263068,22.8820444558066,1541,0.002968210675542,4000,0
59,0.859683819858762,0,0.566224481356983,24.2239515941205,1597,0.003076075567061,4000,0
60,0.833682543127237,0,0.588264052775075,23.0450242156431,1454,0.002800634861933,4000,0
61,0.847239781170871,0,0.5452248936257,23.6201150437285,1599,0.003079927884615,4000,0
62,0.86799222023549,0,0.501054060624828,24.5224557150075,1647,0.003172383505917,4000,1
63,0.819213922749727,0,0.527998177186686,25.4533045254422,1813,0.003492125862919,4000,0
64,0.877932065626048,0,0.475238704815416,25.8709324179728,1851,0.00356531989645,4000,1
65,0.840485101540891,0,0.474583318211141,24.9108620805525,1752,0.003374630177515,4000,1
66,0.902639072170395,0,0.443495319792783,25.2606920046469,1810,0.003486347386588,4000,1
67,0.868149649200083,0,0.525146539676488,25.9748498712931,1759,0.003388113288955,4000,0
68,0.841685740209699,0,0.434661801863499,24.7685101016729,1803,0.003472864275148,4000,1
69,0.807493736254622,0,0.39639765834332,30.526685434956,2567,0.004944449580868,4000,1
70,0.859074966491913,0,0.472080626841118,31.0095995356316,2514,0.00484236316568,4000,1
71,0.870287143192363,0,0.449846770727636,25.3510776804795,1785,0.00343819341716,4000,1
72,0.8294165985967,0,0.549270934576674,30.9138595585017,2381,0.004586184048323,4000,0
73,0.817315444731281,0,0.595127622592713,30.3944234448933,2301,0.004432091346154,4000,0
74,0.846937542163177,0,0.465797234012051,28.5873406890877,2253,0.004339635724852,4000,1
75,0.821042339395997,0,0.497755373926887,25.8598488024308,1814,0.003494052021696,4000,1
76,0.861994934702936,0,0.533732872520312,25.6478958908791,1780,0.003428562623274,4000,0
77,0.807966706021282,0,0.41737256857058,24.4475532607722,1774,0.003417005670611,4000,1
78,0.86363602924441,0,0.501887258128969,26.2242504379862,1744,0.003359220907298,4000,1
79,0.889749521509258,0,0.374064667577587,31.4968959737062,2693,0.005187145586785,4000,1
80,0.846249462905731,0,0.275792585574486,26.7276324433087,1975,0.003804163584813,4000,1
81,0.908052078210205,0,0.259332320748897,27.2404687414681,2098,0.004041081114398,4000,1
82,0.91341827463462,0,0.149275595037641,27.2659359805989,2154,0.004148946005917,4000,1
