Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.914775074,0,0,49.04818351,8516,0.016403168,2000,1
1,0.914299369,0,0.312425494,48.17003923,8494,0.016360793,2000,1
2,0.913696945,0,0.342174232,53.63966051,8508,0.016387759,2000,1
3,0.913513362,0,0.327898771,51.60607751,8497,0.016366571,2000,1
4,0.91467309,0,0.428930432,53.2747888,8516,0.016403168,2000,1
5,0.915284276,0,0.304877579,51.04103603,8563,0.016493698,2000,1
6,0.915584207,0,0.452063709,49.42993083,8423,0.016224035,2000,1
7,0.916015327,0,0.463577628,47.27490001,8323,0.01603142,2000,1
8,0.917252123,0,0.325904489,49.83382289,8373,0.016127727,2000,1
9,0.915549517,0,0.440152466,52.1689868,8412,0.016202848,2000,1
10,0.915922165,0,0.46953252,52.54132238,8494,0.016360793,2000,1
11,0.913032055,0,0.298429608,49.71419229,8451,0.016277968,2000,1
12,0.909417093,0,0.448193491,47.72048454,8428,0.016233666,2000,1
13,0.907394767,0,0.258023798,48.42401167,8510,0.016391611,2000,1
14,0.90899682,0,0.453224987,53.34569911,8384,0.016148915,2000,1
15,0.90908736,0,0.49368751,54.05942079,8310,0.016006379,2000,1
16,0.909786999,0,0.325567186,48.3810422,8479,0.0163319,2000,1
17,0.912588477,0,0.481170118,52.16977313,8535,0.016439765,2000,1
18,0.913853943,0,0.369893789,48.51898292,8494,0.016360793,2000,1
19,0.915731013,0,0.535791218,52.24552894,8542,0.016453248,2000,0
20,0.914170027,0,0.523172438,53.38682338,8618,0.016599636,2000,0
21,0.910154283,0,0.4504264,55.39113905,8682,0.016722911,2000,1
22,0.909506321,0,0.534132779,52.23402578,8776,0.016903969,2000,0
23,0.908070385,0,0.334275573,52.86535427,8690,0.01673832,2000,1
24,0.901535332,0,0.451339751,54.3785125,8571,0.016509107,2000,1
25,0.894573987,0,0.409089446,52.46471962,8264,0.015917776,2000,1
26,0.89704752,0,0.394584507,47.84348441,8191,0.015777167,2000,1
