Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.894528091,0,0.355978698,29.99576748,2741,0.005279601,4000,1
1,0.890624344,0,0.216173083,29.16087239,2711,0.005221816,4000,1
2,0.889540672,0,0.256894976,28.8481874,2657,0.005117804,4000,1
3,0.885238171,0,0.213831842,27.01316409,2674,0.005150549,4000,1
4,0.882810533,0,0.257393062,27.86936324,2666,0.005135139,4000,1
5,0.881452501,0,0.324339569,30.5909863,2668,0.005138992,4000,1
6,0.88116008,0,0.371680468,30.24825795,2655,0.005113952,4000,1
7,0.883280635,0,0.287981242,27.62112676,2674,0.005150549,4000,1
8,0.901262999,0,0.378283888,28.92178451,2721,0.005241078,4000,1
9,0.897007406,0,0.344919175,28.81918121,2828,0.005447177,4000,1
10,0.881310225,0,0.326984018,29.39307066,2837,0.005464512,4000,1
11,0.872469068,0,0.336030811,29.69619126,2926,0.005635941,4000,1
12,0.867509604,0,0.319636613,29.71320663,2884,0.005555042,4000,1
13,0.848438978,0,0.357589513,33.25326231,3267,0.006292761,4000,1
14,0.855263531,0,0.335408717,31.57756907,3310,0.006375586,4000,1
15,0.856745124,0,0.321655005,31.77408842,3327,0.00640833,4000,1
16,0.859121621,0,0.335248291,33.64041687,3445,0.006635617,4000,1
17,0.854836524,0,0.304105252,31.22601194,3572,0.006880239,4000,1
18,0.866517425,0,0.302574217,34.76117983,3697,0.007121009,4000,1
19,0.871045649,0,0.262678087,33.87771664,3779,0.007278954,4000,1
20,0.875901878,0,0.29319948,34.32189236,3820,0.007357927,4000,1
21,0.887229621,0,0.307370722,34.68303846,3917,0.007544764,4000,1
22,0.893635571,0,0.342756212,34.86960629,4056,0.0078125,4000,1
23,0.900072694,0,0.32854268,35.89550879,4129,0.00795311,4000,1
24,0.894230664,0,0.257854521,36.07975573,4345,0.00836916,4000,1
25,0.890832603,0,0.475126535,39.41167379,4463,0.008596447,4000,1
26,0.889649272,0,0.307183683,37.02974894,4641,0.008939303,4000,1
27,0.884910643,0,0.374010563,39.19893623,4871,0.009382319,4000,1
28,0.888193548,0,0.378623486,37.24567089,4801,0.009247488,4000,1
29,0.867363036,0,0.714951873,40.93308124,4787,0.009220522,4000,0
30,0.879995108,0,0.647740364,39.51126529,4896,0.009430473,4000,0
31,0.880550921,0,0.519259155,39.48503247,5098,0.009819557,4000,0
32,0.894192755,0,0.514038146,40.53900092,5265,0.010141226,4000,0
33,0.880602896,0,0.66132462,43.64794901,5327,0.010260648,4000,0
34,0.890001655,0,0.398519516,39.688057,5485,0.010564981,4000,1
35,0.891481578,0,0.357941568,43.5150068,5528,0.010647806,4000,1
36,0.89878881,0,0.333580911,40.69397782,5623,0.010830791,4000,1
37,0.899344385,0,0.42746833,43.5278719,5895,0.011354706,4000,1
38,0.890356362,0,0.380954802,39.60942066,5792,0.011156312,4000,1
39,0.890050948,0,0.625412107,44.00134754,5746,0.011067708,4000,0
40,0.894165456,0,0.550229311,42.99194563,5728,0.011033037,4000,0
41,0.880902588,0,0.491668493,43.45848098,5833,0.011235284,4000,1
42,0.870293021,0,0.7560848,45.30515815,5971,0.011501094,4000,0
43,0.872650087,0,0.525714695,41.7065824,6076,0.011703341,4000,0
44,0.862049699,0,0.526552916,41.5673594,5966,0.011491463,4000,0
45,0.856205642,0,0.646282971,43.54479767,5930,0.011422122,4000,0
46,0.862184286,0,0.727326751,43.94378937,5866,0.011298847,4000,0
47,0.862375915,0,0.770986915,46.47256751,6201,0.011944111,4000,0
48,0.858831644,0,0.639189601,45.19525039,6340,0.012211847,4000,0
49,0.861437857,0,0.589022756,47.26435118,6666,0.012839774,4000,0
50,0.86739701,0,0.566196382,45.69112639,6659,0.012826291,4000,0
51,0.874317706,0,0.43910265,47.06283398,6848,0.013190335,4000,1
52,0.883909523,0,0.419598371,45.33870584,7087,0.013650687,4000,1
53,0.88853091,0,0.452751756,49.16100876,7276,0.014014731,4000,1
54,0.891343951,0,0.459394068,49.93443036,7393,0.014240092,4000,1
55,0.894019663,0,0.403017193,47.08967714,7360,0.014176529,4000,1
56,0.901277244,0,0.380622298,47.64299959,7492,0.014430782,4000,1
57,0.900951564,0,0.486364454,48.8704213,7737,0.01490269,4000,1
58,0.906035542,0,0.630393207,54.7645673,9088,0.017504931,4000,0
59,0.902817965,0,0.641992986,55.22491498,9778,0.018833981,4000,0
60,0.900359869,0,0.534985125,55.26364701,10262,0.019766241,4000,0
61,0.900802135,0,0.512681007,57.96108016,9986,0.019234622,4000,0
62,0.885864198,0,0.725200653,57.87124276,10572,0.020363351,4000,0
63,0.893048406,0,0.669444561,56.9416587,10612,0.020440397,4000,0
64,0.897192895,0,0.658450484,55.27224474,10665,0.020542483,4000,0
65,0.896603882,0,0.596209526,60.61997443,11217,0.021605723,4000,0
66,0.899204254,0,0.589901149,62.20779901,11513,0.022175866,4000,0
67,0.905171514,0,0.519288182,60.3420049,12188,0.023476023,4000,0
68,0.904745638,0,0.51223892,65.38170843,12184,0.023468319,4000,0
69,0.913183808,0,0.685334921,62.23050552,12434,0.023949858,4000,0
70,0.917455018,0,0.533127069,60.95090076,12473,0.024024978,4000,0
71,0.915103674,0,0.752648532,65.63861355,12694,0.02445066,4000,0
72,0.910667062,0,0.574557543,69.34752993,13106,0.025244237,4000,0
73,0.913453579,0,0.500944138,66.37398846,13299,0.025615986,4000,0
74,0.908533812,0,0.4537808,64.56814145,13550,0.026099451,4000,1
75,0.905314088,0,0.39559862,63.90218965,13697,0.026382597,4000,1
76,0.911491632,0,0.401935667,64.14193987,13954,0.02687762,4000,1
77,0.906420887,0,0.394424379,66.91085763,13630,0.026253544,4000,1
78,0.908782721,0,0.436574131,67.0322353,13959,0.02688725,4000,1
79,0.893044412,0,0.465994835,67.01389104,14329,0.027599929,4000,1
80,0.909745634,0,0.623641789,70.38935895,14694,0.028302977,4000,0
81,0.913438499,0,0.550144076,68.47141892,14172,0.027297522,4000,0
82,0.923837304,0,0.589318097,71.62516821,14869,0.028640055,4000,0
83,0.930832267,0,0.577588141,68.64641374,15372,0.029608913,4000,0
84,0.928347468,0,0.626881719,70.26036042,16593,0.031960753,4000,0
85,0.946507573,0,0.439185023,74.98394353,18457,0.035551113,4000,1
86,0.94586426,0,0.53227514,78.93794418,19511,0.037581284,4000,0
87,0.94693464,0,0.611409247,78.05659093,20392,0.03927823,4000,0
88,0.932983041,0,0.593087733,70.28168501,16173,0.031151766,4000,0
89,0.94341886,0,0.626445353,71.34081238,16974,0.032694619,4000,0
90,0.942762554,0,0.533435762,75.16348339,17918,0.034512913,4000,0
91,0.943870544,0,0.495678067,72.21552006,17770,0.034227841,4000,1
92,0.937876344,0,0.64088136,74.48916556,17723,0.034137312,4000,0
93,0.935762167,0,0.409165233,76.69136436,17778,0.034243251,4000,1
94,0.9284935,0,0.161264002,75.65953505,19051,0.036695251,4000,1
95,0.925234079,0,0.5022614,76.8463636,19419,0.037404077,4000,0
96,0.923567653,0,0.262417614,79.76338085,18690,0.035999908,4000,1
97,0.932556629,0,0.218826339,73.90348767,18122,0.034905849,4000,1
98,0.934749365,0,0.367157876,81.85519571,19294,0.037163307,4000,1
99,0.94643563,0,0.374885559,73.68277903,19154,0.036893645,4000,1
