Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.90419106,0,0.294258335,28.78647799,2760,0.005316198,4000,1
1,0.959897934,0,0.232044943,27.63043667,2723,0.00524493,4000,1
2,0.973907421,0,0.277840436,29.89611489,2669,0.005140918,4000,1
3,0.935057492,0,0.25333278,28.13705158,2676,0.005154401,4000,1
4,0.966663694,0,0.260733601,29.45324395,2662,0.005127435,4000,1
5,0.94982117,0,0.293749413,28.61940741,2656,0.005115878,4000,1
6,0.958573222,0,0.41311844,29.39603422,2642,0.005088911,4000,1
7,0.945102022,0,0.353991251,27.20918807,2661,0.005125509,4000,1
8,0.939570828,0,0.450555323,29.31971766,2735,0.005268044,4000,1
9,0.911002388,0,0.520873417,31.20303049,2821,0.005433694,4000,0
10,0.949276429,0,0.349146561,28.73152128,2811,0.005414432,4000,1
11,0.969255896,0,0.324040418,31.91574621,2910,0.005605122,4000,1
12,0.878333606,0,0.366352109,30.56075412,2887,0.00556082,4000,1
13,0.943292131,0,0.356575541,30.03567045,3257,0.006273499,4000,1
14,0.95231751,0,0.371986997,32.61136741,3304,0.006364029,4000,1
15,0.945903696,0,0.368978897,30.98805068,3344,0.006441075,4000,1
16,0.950225358,0,0.298312025,33.45021055,3449,0.006643322,4000,1
17,0.880841854,0,0.360136347,34.70752915,3570,0.006876387,4000,1
18,0.92821827,0,0.349771534,33.99870749,3688,0.007103674,4000,1
19,0.93257627,0,0.275891074,34.46651184,3791,0.007302068,4000,1
20,0.883371588,0,0.327469191,34.53211422,3825,0.007367557,4000,1
21,0.98390295,0,0.275436532,33.6405963,3910,0.007531281,4000,1
22,0.901941119,0,0.3207312,35.62830133,4062,0.007824057,4000,1
23,0.941032861,0,0.340332729,36.35052385,4119,0.007933848,4000,1
24,0.977282146,0,0.283477713,36.64499286,4336,0.008351824,4000,1
25,0.904549921,0,0.334892243,38.16401058,4465,0.008600299,4000,1
26,0.971239705,0,0.302926484,39.28190762,4652,0.008960491,4000,1
27,0.941647101,0,0.358973942,37.3419324,4873,0.009386172,4000,1
28,0.89723604,0,0.393781475,40.01387091,4795,0.009235931,4000,1
29,0.960224974,0,0.434603551,39.22856063,4791,0.009228227,4000,1
30,0.93733979,0,0.594725476,38.36520655,4898,0.009434326,4000,0
31,0.918924895,0,0.351322009,38.8123022,5092,0.009808,4000,1
32,0.917056995,0,0.530766241,38.79641933,5260,0.010131595,4000,0
33,0.973545291,0,0.499487447,40.11456335,5335,0.010276057,4000,1
34,0.967865759,0,0.472247596,40.49944689,5478,0.010551498,4000,1
35,0.908306902,0,0.381984363,40.72081595,5542,0.010674772,4000,1
36,0.916862825,0,0.404500145,41.66507217,5629,0.010842348,4000,1
37,0.92178329,0,0.492627983,40.83188421,5908,0.011379746,4000,1
38,0.903027136,0,0.355047041,41.88542013,5788,0.011148607,4000,1
39,0.957051428,0,0.330877192,41.18692024,5737,0.011050373,4000,1
40,0.976396804,0,0.511848202,40.30552522,5744,0.011063856,4000,1
41,0.905089547,0,0.355346973,42.06560483,5845,0.011258398,4000,1
42,0.916868689,0,0.408970598,41.54417002,5979,0.011516503,4000,1
