Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.78451246,0,0.657656848,30.08292857,2777,0.005348943,4000,0
1,0.779389203,0,0.683311582,32.88086121,2712,0.005223743,4000,0
2,0.761467397,0,0.630704284,31.35698339,2654,0.005112025,4000,0
3,0.778263032,0,0.649517477,32.65819983,2541,0.004894369,4000,0
4,0.800543904,0,0.682470918,31.95965257,2679,0.005160179,4000,0
5,0.801820219,0,0.713202417,31.44870854,2808,0.005408654,4000,0
6,0.775791466,0,0.720299125,30.97583114,2686,0.005173662,4000,0
7,0.772572935,0,0.630778491,31.38027552,2749,0.00529501,4000,0
8,0.784453332,0,0.643363833,32.35606877,2873,0.005533854,4000,0
9,0.781864762,0,0.704968512,34.02088758,2925,0.005634014,4000,0
10,0.796184361,0,0.602785707,33.7822129,3077,0.005926791,4000,0
11,0.813863695,0,0.529059827,34.96561413,3152,0.006071252,4000,0
12,0.815091252,0,0.256152153,34.05905923,3224,0.006209936,4000,1
13,0.800322831,0,0.155121684,34.44547636,3286,0.006329358,4000,1
14,0.796509564,0,0.164408818,34.62074258,3202,0.00616756,4000,1
15,0.788118303,0,0.546807408,33.10244302,3025,0.00582663,4000,0
16,0.786151588,0,0.558762729,32.37930429,2914,0.005612827,4000,0
17,0.72008723,0,0.146872699,32.14316351,2503,0.004821175,4000,1
18,0.706149459,0,0.194213808,30.30679321,2498,0.004811545,4000,1
19,0.743837237,0,0.17362386,32.61991782,3041,0.005857449,4000,1
20,0.738972962,0,0.687150121,33.40324825,3136,0.006040434,4000,0
21,0.780800402,0,0.666144907,34.07909361,3166,0.006098219,4000,0
22,0.77810812,0,0.7666381,33.44952138,3226,0.006213788,4000,0
23,0.795828283,0,0.6629076,33.86084216,3242,0.006244607,4000,0
24,0.761657119,0,0.713853478,33.76199028,3151,0.006069326,4000,0
25,0.780529261,0,0.627117753,35.09920975,3209,0.006181044,4000,0
26,0.812388301,0,0.604497075,35.60066417,3259,0.006277351,4000,0
27,0.805726826,0,0.268301249,35.26601517,3182,0.006129037,4000,1
28,0.770443857,0,0.642783761,30.65491225,2818,0.005427915,4000,0
29,0.764687538,0,0.254765809,35.8060294,3211,0.006184896,4000,1
30,0.786242485,0,0.317098588,33.82679768,3233,0.006227271,4000,1
31,0.81074506,0,0.621088088,33.35060936,3211,0.006184896,4000,0
32,0.798736572,0,0.669405878,33.85716134,3153,0.006073179,4000,0
33,0.757111132,0,0.671709597,34.26754001,3074,0.005921012,4000,0
34,0.778104722,0,0.754760265,32.85966362,3005,0.005788107,4000,0
35,0.757403433,0,0.747447908,34.07673228,3100,0.005971092,4000,0
36,0.792609572,0,0.77389425,33.61594384,3028,0.005832409,4000,0
37,0.774569392,0,0.712924063,33.24675446,3168,0.006102071,4000,0
38,0.811030507,0,0.647295713,34.92815496,3171,0.006107849,4000,0
39,0.780317545,0,0.430976331,34.68497476,3273,0.006304318,4000,1
40,0.812047005,0,0.312252909,34.47708007,3260,0.006279278,4000,1
41,0.824427783,0,0.253034562,34.82358329,3175,0.006115554,4000,1
42,0.837309599,0,0.447128773,34.94499946,3276,0.006310096,4000,1
43,0.833765507,0,0.346187651,34.05843882,3139,0.006046212,4000,1
44,0.826625645,0,0.38989681,33.23439897,3060,0.005894046,4000,1
45,0.819104075,0,0.173668802,35.26541927,3049,0.005872858,4000,1
46,0.812567174,0,0.216856912,36.04146614,3057,0.005888267,4000,1
47,0.814786255,0,0.286102295,34.67293351,3199,0.006161782,4000,1
48,0.805148304,0,0.224691719,33.83856648,3110,0.005990354,4000,1
49,0.796475708,0,0.261023015,32.62927408,3098,0.00596724,4000,1
50,0.827922761,0,0.213288948,33.07106186,3050,0.005874784,4000,1
51,0.839024603,0,0.563444912,33.89007401,3153,0.006073179,4000,0
52,0.845649421,0,0.732370496,33.51441449,3079,0.005930643,4000,0
53,0.873149395,0,0.272182733,34.00821078,3170,0.006105923,4000,1
54,0.87434715,0,0.638847411,33.51479603,3073,0.005919086,4000,0
55,0.884744644,0,0.681340575,32.06447753,3090,0.005951831,4000,0
56,0.868111372,0,0.195274547,34.06561369,3083,0.005938348,4000,1
57,0.854896784,0,0.038167059,33.74080865,2973,0.00572647,4000,1
58,0.823608637,0,0.182727963,34.9753276,3309,0.006373659,4000,1
59,0.814008176,0,0.155171648,32.42319763,2937,0.005657128,4000,1
60,0.831850648,0,0.259391606,32.76571712,3036,0.005847818,4000,1
61,0.847230434,0,0.185193092,33.24197261,3087,0.005946052,4000,1
62,0.84848696,0,0.201711431,32.47965631,2938,0.005659054,4000,1
63,0.811800122,0,0.260982215,34.45044963,2894,0.005574304,4000,1
64,0.824736357,0,0.029550677,32.46078473,2932,0.005647498,4000,1
65,0.832374454,0,0.394493431,34.62996305,3021,0.005818926,4000,1
66,0.829772949,0,0.284573585,36.23700828,3181,0.006127111,4000,1
67,0.839921892,0,0.276270062,36.45403862,3151,0.006069326,4000,1
68,0.823601842,0,0.20949322,36.95488714,3378,0.006506564,4000,1
69,0.849928916,0,0.176877111,35.22094048,3186,0.006136742,4000,1
70,0.857898891,0,0.263357967,35.81602334,3168,0.006102071,4000,1
71,0.894307792,0,0.532199681,33.08785063,3146,0.006059696,4000,0
72,0.907065809,0,0.535599113,34.83665073,3274,0.006306244,4000,0
73,0.896518409,0,0.551395059,34.19031477,3221,0.006204157,4000,0
74,0.881836414,0,0.267697692,33.54087065,3017,0.005811221,4000,1
75,0.880197167,0,0.247645095,34.62112349,3147,0.006061622,4000,1
76,0.880311966,0,0.181392193,33.67668311,3227,0.006215714,4000,1
77,0.935976624,0,0.27121073,32.66997606,3102,0.005974945,4000,1
78,0.883363605,0,0.368444473,33.67922111,3097,0.005965314,4000,1
79,0.86431843,0,0.455068409,34.00879277,3095,0.005961461,4000,1
80,0.855003953,0,0.523383439,32.34827869,3051,0.00587671,4000,0
81,0.822415829,0,0.101178087,32.0715233,2948,0.005678316,4000,1
82,0.780197203,0,0.60260129,30.059615,2571,0.004952154,4000,0
83,0.800464272,0,0.127107874,33.64018418,2936,0.005655202,4000,1
84,0.822770774,0,0.390969306,33.3773405,3060,0.005894046,4000,1
85,0.778250992,0,0.443226248,32.38102548,2786,0.005366278,4000,1
86,0.801757693,0,0.156207651,32.01053508,2916,0.005616679,4000,1
87,0.766281784,0,0.390281737,35.89822557,3042,0.005859375,4000,1
88,0.788194835,0,0.593601763,36.78839916,3192,0.006148299,4000,0
89,0.784184277,0,0.562897921,34.50033917,3148,0.006063548,4000,0
90,0.76987499,0,0.544669747,32.82831623,3184,0.00613289,4000,0
91,0.765755236,0,0.617623568,32.12415553,2991,0.005761141,4000,0
92,0.807672203,0,0.503295779,35.41195709,3051,0.00587671,4000,0
93,0.828273177,0,0.568995059,32.33767554,3149,0.006065474,4000,0
94,0.864454627,0,0.397357553,34.33796164,3087,0.005946052,4000,1
95,0.878145814,0,0.257499456,34.19010561,3065,0.005903677,4000,1
96,0.883080721,0,0.223020792,33.25329745,3075,0.005922938,4000,1
97,0.872793078,0,0.203512549,34.69127509,3132,0.006032729,4000,1
98,0.845906854,0,0.062188223,33.93217719,2988,0.005755362,4000,1
99,0.837484002,0,0.264481634,33.90945494,3057,0.005888267,4000,1
100,0.857118011,0,0.30302006,32.15354454,3126,0.006021172,4000,1
101,0.829759359,0,0.172587842,33.9793313,3104,0.005978797,4000,1
102,0.851086199,0,0.220795512,34.9486392,3116,0.006001911,4000,1
103,0.836725652,0,0.210238174,34.3752222,3059,0.00589212,4000,1
104,0.83827132,0,0.286197245,33.49748692,3210,0.00618297,4000,1
105,0.816671371,0,0.204894528,35.31053387,3181,0.006127111,4000,1
106,0.781919181,0,0.209376201,31.35310991,3045,0.005865153,4000,1
107,0.778153121,0,0.410548538,32.76419333,3099,0.005969166,4000,1
108,0.732190549,0,0.517536402,32.50472015,3087,0.005946052,4000,0
109,0.740709484,0,0.45392096,34.98595489,3055,0.005884415,4000,1
110,0.701645136,0,0.539409161,34.12776028,3052,0.005878637,4000,0
111,0.796369612,0,0.583696008,33.32912615,3075,0.005922938,4000,0
112,0.796136439,0,0.108929753,33.62319438,3049,0.005872858,4000,1
113,0.791253626,0,0.092235178,30.46908796,2627,0.005060019,4000,1
114,0.806872427,0,0.134326339,33.0632107,2849,0.005487626,4000,1
115,0.799517989,0,0.099172197,32.76508818,2877,0.005541559,4000,1
116,0.804257154,0,0.489764154,30.8133828,2826,0.005443325,4000,1
117,0.777869225,0,0.443084359,31.98465895,2710,0.00521989,4000,1
118,0.792037427,0,0.112225294,33.44860047,3084,0.005940274,4000,1
119,0.756442845,0,0.36036399,34.94797298,3106,0.005982649,4000,1
120,0.776754439,0,0.425332397,34.75297879,2950,0.005682168,4000,1
121,0.795975685,0,0.21490708,34.65928677,2898,0.005582008,4000,1
122,0.861184955,0,0.252617806,35.94554791,3117,0.006003837,4000,1
123,0.877794504,0,0.304713517,33.50724023,3133,0.006034655,4000,1
124,0.888010859,0,0.25801757,36.60391464,3238,0.006236902,4000,1
125,0.887370884,0,0.276371837,35.47169272,3383,0.006516195,4000,1
126,0.879553914,0,0.321761191,34.08466786,3347,0.006446853,4000,1
127,0.896515727,0,0.315532506,37.89891328,3475,0.006693402,4000,1
128,0.884258091,0,0.347112507,35.96994516,3546,0.006830159,4000,1
129,0.889073372,0,0.284836769,36.31162066,3357,0.006466115,4000,1
130,0.887090027,0,0.173445672,34.94610911,3383,0.006516195,4000,1
131,0.881454885,0,0.142492056,34.05001545,3011,0.005799664,4000,1
132,0.894421101,0,0.110159792,32.84355118,2884,0.005555042,4000,1
133,0.896740973,0,0.200955555,33.83133096,2858,0.005504962,4000,1
134,0.896367908,0,0.362166584,33.86666349,2972,0.005724544,4000,1
135,0.908112168,0,0.445241481,33.33993476,2985,0.005749584,4000,1
136,0.912426472,0,0.393733054,35.03211642,3218,0.006198379,4000,1
137,0.906710386,0,0.3839145,34.46811988,3148,0.006063548,4000,1
138,0.904856205,0,0.526941895,34.23835554,3049,0.005872858,4000,0
139,0.90377146,0,0.618649781,30.89281815,2815,0.005422137,4000,0
140,0.847576082,0,0.479105324,31.36274381,2854,0.005497257,4000,1
141,0.823667526,0,0.443132967,33.73650686,2893,0.005572377,4000,1
142,0.8604877,0,0.639504492,35.45925962,3366,0.00648345,4000,0
143,0.831117749,0,0.396815151,36.85525644,3310,0.006375586,4000,1
144,0.820968211,0,0.073350154,34.4477671,3330,0.006414109,4000,1
145,0.837147892,0,0.593755662,36.32219314,3397,0.006543161,4000,0
146,0.803782463,0,0.627713621,33.80939836,3202,0.00616756,4000,0
147,0.801366985,0,0.513222456,30.41942913,2884,0.005555042,4000,0
148,0.787956297,0,0.545970559,31.17296885,2894,0.005574304,4000,0
149,0.80719018,0,0.578944385,33.13260972,2889,0.005564673,4000,0
150,0.826855659,0,0.552297175,34.99286729,2852,0.005493405,4000,0
151,0.819948435,0,0.111116856,32.62438193,2907,0.005599344,4000,1
152,0.810095966,0,0.539743423,32.44875794,2941,0.005664833,4000,0
153,0.776341259,0,0.525963664,33.34394987,2894,0.005574304,4000,0
154,0.817783415,0,0.570085168,32.6242325,2950,0.005682168,4000,0
155,0.824399352,0,0.075941674,34.18276814,2960,0.00570143,4000,1
156,0.773779333,0,0.078841344,34.51265051,2925,0.005634014,4000,1
157,0.768204093,0,0.102998659,32.82301098,2992,0.005763067,4000,1
158,0.777280152,0,0.349761397,34.44929655,3028,0.005832409,4000,1
159,0.786372542,0,0.096531801,35.16115849,2978,0.005736101,4000,1
160,0.844086707,0,0.195195064,34.84281726,3133,0.006034655,4000,1
161,0.82606554,0,0.119074598,31.46438177,2825,0.005441399,4000,1
162,0.810155749,0,0.182586908,32.69064205,2928,0.005639793,4000,1
163,0.783479989,0,0.231775448,32.64750232,2858,0.005504962,4000,1
164,0.770547926,0,0.151255295,31.63839131,2680,0.005162106,4000,1
165,0.769011617,0,0.078317128,34.11088822,2868,0.005524223,4000,1
166,0.804853022,0,0.644019961,32.37910885,2939,0.005660981,4000,0
167,0.831965983,0,0.674900174,32.25886763,2904,0.005593565,4000,0
168,0.834515214,0,0.517183602,30.84316518,2777,0.005348943,4000,0
169,0.822170794,0,0.578986347,31.73608466,2755,0.005306567,4000,0
170,0.869225264,0,0.077491716,33.27279716,2875,0.005537706,4000,1
171,0.874725342,0,0.16705285,33.55139928,2948,0.005678316,4000,1
172,0.857170999,0,0.171752349,33.2115429,2855,0.005499183,4000,1
173,0.844563007,0,0.183103979,32.41722621,2741,0.005279601,4000,1
174,0.86976546,0,0.457205534,32.49038754,2964,0.005709135,4000,1
175,0.860334396,0,0.147845849,32.88111612,2830,0.005451029,4000,1
176,0.84213829,0,0.363105863,33.81073313,2819,0.005429842,4000,1
177,0.847474933,0,0.402867168,32.34006375,2956,0.005693725,4000,1
178,0.810323298,0,0.25674513,33.71223337,2830,0.005451029,4000,1
179,0.794956744,0,0.164161041,35.49086577,2891,0.005568525,4000,1
180,0.815890372,0,0.133759037,36.45589099,3090,0.005951831,4000,1
181,0.838876069,0,0.263624161,35.14680433,3127,0.006023098,4000,1
182,0.807927072,0,0.133040249,35.29707003,3192,0.006148299,4000,1
183,0.786705315,0,0.162203506,34.55163997,3244,0.006248459,4000,1
184,0.784610212,0,0.170859084,33.73698824,3290,0.006337062,4000,1
185,0.802443862,0,0.191680714,35.23451023,3394,0.006537383,4000,1
186,0.816768587,0,0.159454897,34.4752106,3303,0.006362102,4000,1
187,0.827828169,0,0.240731344,33.55042227,3211,0.006184896,4000,1
188,0.805588484,0,0.098319888,34.35370668,3038,0.00585167,4000,1
189,0.809063017,0,0.128539011,33.40378944,3009,0.005795812,4000,1
190,0.805264771,0,0.078301951,34.2730937,2889,0.005564673,4000,1
191,0.78224802,0,0.076196089,32.16023225,2893,0.005572377,4000,1
192,0.806573629,0,0.159966528,32.93233588,3038,0.00585167,4000,1
193,0.787364721,0,0.209986791,33.28249249,3114,0.005998058,4000,1
194,0.822814167,0,0.127652884,33.65387837,2983,0.005745732,4000,1
195,0.836779714,0,0.229270279,32.69602264,2915,0.005614753,4000,1
196,0.824638844,0,0.235063404,35.77436746,2946,0.005674464,4000,1
197,0.797176898,0,0.234136999,32.16112836,2900,0.00558586,4000,1
198,0.807025433,0,0.205621585,33.46301257,2770,0.00533546,4000,1
199,0.835002899,0,0.162613168,33.54544164,2859,0.005506888,4000,1
200,0.837335706,0,0.408031315,34.42596299,3022,0.005820852,4000,1
201,0.885811448,0,0.421067506,35.77040503,3399,0.006547014,4000,1
202,0.847338855,0,0.473571092,35.63906919,3400,0.00654894,4000,1
203,0.856151462,0,0.152109444,34.3213242,3225,0.006211862,4000,1
204,0.890984952,0,0.428446978,35.94583113,3174,0.006113628,4000,1
205,0.839286566,0,0.168046176,34.85897331,2984,0.005747658,4000,1
206,0.86955291,0,0.423743695,32.47146324,2877,0.005541559,4000,1
207,0.854496896,0,0.501363873,34.17349317,2889,0.005564673,4000,0
208,0.798166871,0,0.506421387,34.34529573,2634,0.005073502,4000,0
209,0.780287385,0,0.369919062,34.78038972,2817,0.005425989,4000,1
210,0.810081184,0,0.285792679,35.69221153,2944,0.005670611,4000,1
211,0.822566748,0,0.224532068,34.37034522,2969,0.005718765,4000,1
212,0.844042182,0,0.192034319,33.50391784,3044,0.005863227,4000,1
213,0.833531022,0,0.328269899,35.54331438,3064,0.00590175,4000,1
214,0.774599791,0,0.539860189,32.7290556,2993,0.005764993,4000,0
215,0.807583272,0,0.417633325,32.27879513,2956,0.005693725,4000,1
216,0.807554781,0,0.222518682,34.59865478,2946,0.005674464,4000,1
217,0.80574894,0,0.274087459,35.04348746,3006,0.005790033,4000,1
218,0.766045988,0,0.314329267,32.16934478,2876,0.005539633,4000,1
219,0.751156986,0,0.273680955,33.4664847,2793,0.005379761,4000,1
220,0.815524101,0,0.061257329,31.15430264,2750,0.005296937,4000,1
221,0.813884974,0,0.532782733,34.1291948,2874,0.00553578,4000,0
222,0.819354415,0,0.568305433,31.8541761,2761,0.005318124,4000,0
223,0.833266556,0,0.546799302,31.39238687,2626,0.005058093,4000,0
224,0.795777261,0,0.042639978,30.4186038,2592,0.004992604,4000,1
225,0.849793077,0,0.322813809,32.6080391,2594,0.004996456,4000,1
