Sample,Confidence_Before,Target_Class,Confidence_After,L2_Difference,L0_Difference,L0_Weight,Query_Count,Results
0,0.918852083,0,0,47.22472603,8521,0.016412799,4000,1
1,1,0,0.449657614,52.84350089,8493,0.016358866,4000,1
2,0.981431563,0,0.375098519,48.33759739,8509,0.016389685,4000,1
3,0.918326701,0,0.452908247,47.86018163,8515,0.016401242,4000,1
4,0.959973592,0,0.394994042,46.83985116,8526,0.01642243,4000,1
5,0.948639588,0,0.443504132,51.3289273,8566,0.016499476,4000,1
6,0.921407996,0,0.422937796,50.80293655,8415,0.016208626,4000,1
7,0.965739009,0,0.515164775,48.19561448,8325,0.016035272,4000,0
8,0.998422966,0,0.43081775,46.56375124,8382,0.016145063,4000,1
9,0.930586929,0,0.453536593,51.56821158,8418,0.016214405,4000,1
10,0.974373855,0,0.428913786,49.81429427,8520,0.016410873,4000,1
11,0.925546231,0,0.510509927,48.05907569,8461,0.016297229,4000,0
12,0.930328586,0,0.311827133,47.32576738,8420,0.016218257,4000,1
13,0.944351671,0,0.475940936,47.00599159,8521,0.016412799,4000,1
14,0.974432226,0,0.529219513,49.1140311,8402,0.016183586,4000,0
15,0.964099847,0,0.482154817,53.85139948,8310,0.016006379,4000,1
16,0.953121592,0,0,48.90613785,8497,0.016366571,4000,1
17,0.940623251,0,0.243410281,49.12179122,8542,0.016453248,4000,1
18,0.918350643,0,0.485218935,49.33943352,8504,0.016380054,4000,1
19,0.999960556,0,0.420209218,51.28448866,8549,0.016466731,4000,1
20,0.975465522,0,0.387140742,52.50225853,8640,0.016642012,4000,1
21,0.962120083,0,0.418757924,48.22860786,8700,0.016757581,4000,1
22,0.928343903,0,0.535705278,52.14853686,8745,0.016844259,4000,0
23,0.931028505,0,0.435490836,52.05527066,8699,0.016755655,4000,1
24,0.968087212,0,0.348253387,50.88406722,8565,0.01649755,4000,1
25,0.983090887,0,0.134235208,47.63923473,8272,0.015933185,4000,1
26,0.950987681,0,0.43489997,52.18256185,8195,0.015784871,4000,1
27,0.964383662,0,0.491806257,49.74848204,8164,0.01572516,4000,1
28,0.912443393,0,0.391079965,52.21180344,8102,0.015605738,4000,1
29,0.983364038,0,0.43503242,48.07268702,8061,0.015526766,4000,1
30,0.91409608,0,0.374465662,47.62942109,8032,0.015470907,4000,1
31,0.962971034,0,0.541058217,50.31300093,8056,0.015517135,4000,0
32,0.92592595,0,0.587759957,49.65653737,8297,0.015981339,4000,0
33,0.908885231,0,0.320402298,48.67997717,8216,0.015825321,4000,1
34,0.986001179,0,0.473114805,52.23369853,8222,0.015836877,4000,1
35,0.982415814,0,0,48.51455522,8389,0.016158546,4000,1
36,0.996843231,0,0.572574441,52.03500818,8308,0.016002527,4000,0
37,0.98987482,0,0.205426705,47.74298791,8424,0.016225962,4000,1
38,0.956721186,0,0.363617008,52.77854599,8360,0.016102687,4000,1
39,0.905684505,0,0.508612046,52.34298077,8184,0.015763683,4000,0
40,0.939490515,0,0.57460637,52.70260669,8552,0.01647251,4000,0
41,0.927271325,0,0.551250091,52.01531153,8699,0.016755655,4000,0
42,0.902799692,0,0.475036737,52.55811393,8608,0.016580375,4000,1
43,0.944057617,0,0.458539035,52.38537249,8745,0.016844259,4000,1
44,0.961970839,0,0.504317273,52.00352367,9186,0.017693695,4000,0
45,0.935456171,0,0.496599021,51.20977851,8945,0.01722949,4000,1
46,0.924458073,0,0.470256441,51.92057356,8779,0.016909748,4000,1
47,0.927128555,0,0.450109386,52.57730085,8887,0.017117773,4000,1
48,0.980865999,0,0.431251363,50.45500224,8997,0.017329651,4000,1
49,0.907239067,0,0.654422056,53.37054757,8664,0.01668824,4000,0
50,0.979387468,0,0.59784474,51.58672507,8438,0.016252928,4000,0
51,0.917580229,0,0.430673816,49.68796552,8507,0.016385833,4000,1
52,0.948344767,0,0.424453715,51.50089759,8441,0.016258706,4000,1
53,0.911175211,0,0.532669787,50.74994704,8444,0.016264485,4000,0
54,0.916475091,0,0.50026766,49.40548373,8299,0.015985192,4000,0
55,0.915997618,0,0.410299048,47.97754809,8124,0.015648114,4000,1
56,0.913214346,0,0.386091275,49.08466177,8132,0.015663523,4000,1
57,0.988787953,0,0.402707963,48.41368352,8175,0.015746348,4000,1
58,0.919408179,0,0.467211158,48.49568961,8145,0.015688563,4000,1
59,0.910613933,0,0.44108406,48.79989695,8247,0.015885031,4000,1
60,0.979201204,0,0.474001927,50.66924097,8208,0.015809911,4000,1
61,0.953290675,0,0.485834535,49.04401541,8122,0.015644262,4000,1
62,0.943796574,0,0.424886957,49.50797139,8163,0.015723234,4000,1
63,0.965716872,0,0.610428869,50.92641743,8179,0.015754053,4000,0
64,0.89065722,0,0.517582314,48.35497475,8374,0.016129654,4000,0
65,0.9234748,0,0.642232647,49.40764346,8427,0.01623174,4000,0
66,0.92480637,0,0.454735198,50.17640393,8852,0.017050357,4000,1
67,0.960526537,0,0.490423396,52.30683863,8824,0.016996425,4000,1
68,0.932879369,0,0.520901375,53.05228095,8941,0.017221786,4000,0
69,0.918029359,0,0.387044965,51.79339713,9063,0.017456777,4000,1
70,0.996173952,0,0.38898499,52.49120554,9107,0.017541528,4000,1
71,0.957271276,0,0.147029688,51.39509444,9302,0.017917129,4000,1
72,0.95758654,0,0.249122304,51.60654835,9366,0.018040403,4000,1
73,0.967343013,0,0.202321818,51.09176899,9222,0.017763036,4000,1
74,0.974613813,0,0.239471085,54.56390164,9563,0.018419856,4000,1
75,0.922435442,0,0.150916338,55.61185887,9385,0.018077,4000,1
76,0.921360799,0,0.195411709,53.17385426,9174,0.017670581,4000,1
77,0.929187735,0,0.163472937,50.16420036,9102,0.017531897,4000,1
78,0.923142592,0,0.118483232,53.36485689,9167,0.017657098,4000,1
79,0.936335137,0,0.179151036,53.13302942,9425,0.018154046,4000,1
80,0.995977861,0,0.234175009,54.76023177,9565,0.018423709,4000,1
81,0.951090756,0,0.273684534,54.1694864,9497,0.01829273,4000,1
82,0.927631933,0,0.258821412,53.23448365,9558,0.018410226,4000,1
83,0.921035507,0,0.121072035,51.59225165,9269,0.017853566,4000,1
84,0.913104743,0,0.223673318,52.29550143,9446,0.018194496,4000,1
85,0.944260873,0,0.127803208,52.64164707,9655,0.018597063,4000,1
86,0.99670539,0,0.252811309,56.69741536,9355,0.018019215,4000,1
87,0.964180408,0,0.250873069,51.39072347,8945,0.01722949,4000,1
88,0.94035416,0,0,50.99402985,9317,0.017946021,4000,1
89,0.97695889,0,0.44662715,51.05764117,9140,0.017605091,4000,1
90,1,0,0.555431695,56.19516426,9110,0.017547306,4000,0
91,0.941603968,0,0.490608289,54.83791951,8881,0.017106216,4000,1
92,0.943913098,0,0.52453499,50.03858765,8846,0.017038801,4000,0
93,0.95562957,0,0.49047053,50.94132198,8834,0.017015687,4000,1
94,0.968790185,0,0.351715779,51.90836838,8877,0.017098511,4000,1
95,0.90265878,0,0.577870451,49.65301594,8704,0.016765286,4000,0
96,0.953003391,0,0.480097535,50.3295731,8700,0.016757581,4000,1
97,0.968729628,0,0.616978119,51.65958518,8594,0.016553409,4000,0
98,0.991533225,0,0.561594745,51.63887529,8311,0.016008306,4000,0
99,0.910950081,0,0.531234603,48.73546101,8451,0.016277968,4000,0
100,0.982199636,0,0.574730504,50.92121437,8325,0.016035272,4000,0
101,0.90580802,0,0.603500185,50.82540634,8179,0.015754053,4000,0
102,0.986942703,0,0.368597635,47.0054498,7974,0.01535919,4000,1
103,0.993172349,0,0.390584007,45.78052065,7699,0.014829496,4000,1
104,0.906397064,0,0.394949916,46.52454913,7781,0.014987441,4000,1
105,0.961511165,0,0.43034969,48.07066198,7801,0.015025965,4000,1
106,0.911526799,0,0.384877784,48.26082713,7956,0.015324519,4000,1
107,0.974303677,0,0.398613173,47.89339292,7906,0.015228211,4000,1
108,0.953720595,0,0.22670367,48.59770153,8519,0.016408947,4000,1
109,0.976632952,0,0.281845044,49.89336141,8593,0.016551482,4000,1
110,1,0,0,50.95779378,8926,0.017192893,4000,1
111,0.95428642,0,0.354100038,51.83612928,8764,0.016880856,4000,1
112,0.926124062,0,0.259575393,49.98701823,8980,0.017296906,4000,1
113,0.94337391,0,0.305936936,48.97600005,8168,0.015732865,4000,1
114,0.987974193,0,0,48.30285974,8186,0.015767536,4000,1
115,0.952842989,0,0.314452451,53.2286279,8452,0.016279894,4000,1
116,0.942404818,0,0.412181752,51.01120034,8574,0.016514885,4000,1
117,0.967050036,0,0.471112868,50.96449979,8918,0.017177484,4000,1
118,0.945804263,0,0.369152563,52.01524545,8879,0.017102364,4000,1
119,0.934149405,0,0.56553651,56.2467109,9385,0.018077,4000,0
120,0.989912579,0,0.305755621,53.14450786,9284,0.017882458,4000,1
121,0.978154105,0,0.491268545,51.27952212,9141,0.017607017,4000,1
122,0.961402297,0,0.675080281,56.69005325,9637,0.018562392,4000,0
123,0.96788362,0,0.587200797,50.92726266,9397,0.018100114,4000,0
124,0.971672436,0,0.464608484,50.34569568,9120,0.017566568,4000,1
125,0.914920805,0,0.407936321,53.97204554,9736,0.018753082,4000,1
126,0.91879799,0,0.371930484,55.73361658,9700,0.01868374,4000,1
127,0.924398039,0,0.288854717,57.88018461,10010,0.019280849,4000,1
128,0.942048121,0,0.308460315,56.8158813,10882,0.02096046,4000,1
129,0.927741304,0,0.335108638,59.77311363,11082,0.021345692,4000,1
130,0.954229523,0,0.346585911,57.56111962,11480,0.022112303,4000,1
131,0.950317833,0,0.226458592,57.78142936,10574,0.020367203,4000,1
